episode,agent_type,mean_return,weather_severity,return_i0,return_i1,co2_i0,co2_i1
76,ppo,-1172.4184900000005,0.2,-1666.3485450000005,-678.4884350000002,649.5449999999998,275.4350000000001
77,ppo,-2228.440645,0.2,-2058.4794849999994,-2398.401805000001,818.9850000000001,1031.3050000000005
78,ppo,-1104.38291,0.2,-1593.4639699999998,-615.3018500000002,614.4699999999997,255.84999999999994
79,ppo,-1284.232925,0.2,-1737.808175,-830.6576750000003,688.1750000000001,339.67499999999984
80,ppo,-1209.3259524999999,0.2,-1673.7530849999994,-744.8988200000001,641.0849999999997,308.82
81,ppo,-983.0210000000008,0.2,-1357.8123550000014,-608.2296450000001,511.3549999999996,249.64499999999998
82,ppo,-1214.517977500002,0.2,-1708.7498800000042,-720.2860749999996,633.3799999999994,297.5749999999999
83,ppo,-987.8351149999999,0.2,-1306.4638149999994,-669.2064150000002,520.3149999999999,278.915
84,ppo,-1262.0960324999999,0.2,-1581.7057799999998,-942.486285,603.28,388.2850000000001
85,ppo,-2461.5789175,0.2,-2480.27231,-2442.8855250000006,1039.8099999999997,1049.5249999999999
86,ppo,-2431.415075000001,0.2,-2338.9944500000006,-2523.8357000000015,987.4500000000005,1083.2
87,ppo,-823.9618575,0.2,-1081.7141399999998,-566.209575,443.1400000000001,235.075
88,ppo,-825.7310525,0.2,-934.1204550000002,-717.34165,382.45500000000015,294.15000000000003
89,ppo,-2524.1567399999994,0.2,-2594.4095899999993,-2453.90389,1105.5899999999995,1052.8899999999992
90,ppo,-1282.0211275000015,0.2,-1757.5402000000026,-806.5020550000002,683.2000000000002,333.055
91,ppo,-1134.7401200000018,0.2,-1687.7250850000034,-581.7551550000002,625.5849999999994,236.65499999999983
92,ppo,-1191.877192500002,0.2,-1714.1218400000034,-669.6325450000002,635.3399999999996,275.04499999999996
93,ppo,-1125.4987649999996,0.2,-1687.1808999999992,-563.8166299999999,650.3999999999996,224.63
94,ppo,-1261.886995000002,0.2,-1737.6200800000038,-786.1539099999999,644.0799999999995,319.90999999999985
95,ppo,-1223.2804400000018,0.2,-1704.5198350000042,-742.0410449999995,631.8349999999995,308.0450000000002
96,ppo,-1103.5371925000015,0.2,-1702.766720000003,-504.30766500000004,631.2199999999995,204.1650000000001
97,ppo,-1116.7690450000016,0.2,-1616.1300800000029,-617.4080100000002,599.0799999999996,255.01000000000008
98,ppo,-2157.2315800000006,0.2,-1900.7418700000007,-2413.7212900000004,714.37,1035.7899999999997
99,ppo,-1304.649535,0.2,-1862.4538250000003,-746.845245,748.3249999999997,306.7450000000001
100,ppo,-1088.9169675000014,0.2,-1537.0513450000026,-640.7825900000004,580.8449999999996,259.0900000000001
