episode,return,avg_loss,epsilon,final_total_queue,cumulative_delay
41.0,-1431.8720000000003,0.3637747090682387,0.2868409187771586,1132.0,119279.0
42.0,-1652.7499999999995,0.27221258005127313,0.27823569121384384,1312.0,138618.0
43.0,-2007.8379999999995,0.2585143754631281,0.2698886204774285,1500.0,171283.0
44.0,-2863.1779999999985,0.2543073502741754,0.26179196186310566,1552.0,246967.0
45.0,-2066.9684999999995,0.33335675913840535,0.2539382030072125,1496.0,176782.0
46.0,-1967.0460000000003,0.35561032699421047,0.2463200569169961,1498.0,168327.0
47.0,-314.14099999999996,0.32816928207874296,0.23893045520948622,98.0,24918.0
48.0,-866.3795,0.30488736456260085,0.23176254155320164,583.0,71873.0
49.0,-924.253,0.3191384659521282,0.2248096653066056,633.0,76706.0
50.0,-2160.3750000000014,0.36154126124456526,0.21806537534740741,1551.0,184167.0
51.0,-810.1770000000001,0.4181681418791413,0.2115234140869852,554.0,67555.0
52.0,-766.4710000000001,0.3711754314228892,0.20517771166437562,607.0,63281.0
53.0,-2396.933,0.35396281372755767,0.19902238031444436,1569.0,206027.0
54.0,-1393.7064999999998,0.37538961332291365,0.19305170890501103,1197.0,116688.0
55.0,-2175.4325,0.3526154886186123,0.1872601576378607,1567.0,184685.0
56.0,-2090.004999999999,0.5876227943226695,0.18164235290872485,1422.0,175772.0
57.0,-2551.028,0.3717235131189227,0.1761930823214631,1592.0,219688.0
58.0,-1060.0444999999997,0.4806481057778001,0.17090728985181922,784.0,87782.0
59.0,-1623.7395,0.45673383072018625,0.16578007115626464,1202.0,134161.0
60.0,-2204.6125000000006,0.4871799376606941,0.1608066690215767,1479.0,187777.0
61.0,-332.4265,0.500791543237865,0.1559824689509294,106.0,26623.0
62.0,-1925.3280000000007,0.48374559175223114,0.1513029948824015,1470.0,160695.0
63.0,-1432.8499999999995,0.3737532686814666,0.14676390503592945,1107.0,118749.0
64.0,-652.9814999999999,0.4728174416348338,0.14236098788485158,459.0,52796.0
65.0,-2814.1879999999987,0.39512788444757463,0.13809015824830603,1539.0,242224.0
66.0,-2528.842999999999,0.5730881513655186,0.13394745350085685,1585.0,217156.0
67.0,-326.7820000000001,0.4194488926976919,0.12992902989583113,105.0,26318.0
68.0,-2520.4905,0.5047968420386314,0.1260311589989562,1528.0,216010.0
69.0,-850.0844999999998,0.48209223087877034,0.12225022422898751,562.0,69711.0
70.0,-2955.880500000002,0.5168039037287235,0.11858271750211788,1589.0,254484.0
71.0,-1828.5054999999995,0.7253241653740407,0.11502523597705434,1408.0,154538.0
72.0,-2210.0865000000003,0.5775179810076952,0.1115744788977427,1481.0,187419.0
73.0,-2093.9574999999995,0.5628255398571491,0.10822724453081042,1470.0,175706.0
74.0,-2105.527000000001,0.7221041619032621,0.10498042719488611,1342.0,177634.0
75.0,-2321.589,0.6244784741476178,0.10183101437903952,1464.0,198252.0
76.0,-2543.8729999999996,0.713882664591074,0.09877608394766833,1487.0,217060.0
77.0,-2431.319,0.7235210584849119,0.09581280142923829,1503.0,208547.0
78.0,-589.2539999999999,0.6542251379042864,0.09293841738636113,292.0,47878.0
79.0,-1319.6620000000003,0.7409203813970089,0.09015026486477029,963.0,109575.0
